agegrp5,sex,EuropeanStandardPopulation
0-4 years,women,5000
5-9 years,women,5500
10-14 years,women,5500
15-19 years,women,5500
20-24 years,women,6000
25-29 years,women,6000
30-34 years,women,6500
35-39 years,women,7000
40-44 years,women,7000
45-49 years,women,7000
50-54 years,women,7000
55-59 years,women,6500
60-64 years,women,6000
65-69 years,women,5500
70-74 years,women,5000
75-79 years,women,4000
80-84 years,women,2500
85-89 years,women,1500
90plus years,women,1000
0-4 years,men,5000
5-9 years,men,5500
10-14 years,men,5500
15-19 years,men,5500
20-24 years,men,6000
25-29 years,men,6000
30-34 years,men,6500
35-39 years,men,7000
40-44 years,men,7000
45-49 years,men,7000
50-54 years,men,7000
55-59 years,men,6500
60-64 years,men,6000
65-69 years,men,5500
70-74 years,men,5000
75-79 years,men,4000
80-84 years,men,2500
85-89 years,men,1500
90plus years,men,1000
